route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
171-4199,171,"Garden City - City/Valley Rocket via Newnham Road",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/171,E463A4,000000
172-4158,172,"Garden City - PA Hospital via Greenslopes",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/172,E463A4,000000
172-4199,172,"Garden City - City via Greenslopes Hospital",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/172,E463A4,000000
174-4199,174,"Garden City - City/Valley via Newnham Road",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/174,E463A4,000000
175-4158,175,"Garden City - City via Logan Rd",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/175,E463A4,000000
175-4199,175,"Garden City - City via Logan Rd",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/175,E463A4,000000
176-4158,176,"Garden City - City Rocket via Logan Road",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/176,E463A4,000000
177-4158,177,"Carindale - Griffith Uni Mt Gravatt",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/177,E463A4,000000
177-4199,177,"Carindale - Griffith Uni Mt Gravatt",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/177,E463A4,000000
178-4199,178,"Carindale Heights - City/Valley via Mt Gravatt",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/178,E463A4,000000
179-4158,179,"Garden City - UQ Express via Newnham Rd",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/179,E463A4,000000
180-4158,180,"Garden City - City Express via Mansfield",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/180,E463A4,000000
180-4199,180,"Garden City - City Express via Mansfield",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/180,E463A4,000000
181-4158,181,"Carindale Heights - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/181,E463A4,000000
181-4199,181,"Wishart - City/Valley Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/181,E463A4,000000
182-4158,182,"Garden City - Holland Park",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/182,E463A4,000000
183-4158,183,"Wishart - City Rocket via Mansfield",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/183,E463A4,000000
184-4199,184,"Garden City - City/Valley via Mt Gravatt Central",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/184,E463A4,000000
185-4158,185,"Garden City - City/Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/185,E463A4,000000
185-4199,185,"Garden City - City/Valley via Mansfield",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/185,E463A4,000000
186-4158,186,"Wishart - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/186,E463A4,000000
186-4199,186,"Wishart - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/186,E463A4,000000
189-4158,189,"Holland Park - City Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/189,E463A4,000000
192-4158,192,"Yeronga - City via UQ Lakes and Highgate Hill",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/192,E463A4,000000
192-4199,192,"UQ Lakes - City via Highgate Hill",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/192,E463A4,000000
195-4158,195,"New Farm - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/195,E463A4,000000
195-4199,195,"New Farm - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/195,E463A4,000000
196-4158,196,"Fairfield Gardens - Merthyr via City/Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/196,E463A4,000000
196-4199,196,"Fairfield Gardens - Merthyr via City/Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/196,E463A4,000000
197-4158,197,"City - South Brisbane Loop",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/197,E463A4,000000
198-4158,198,"Highgate Hill Hail 'n' Ride",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/198,E463A4,000000
